SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
4112,2020-09-06T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,77,8,85,1909,1994,122,9277,1143,12414,390411
4113,2020-09-06T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,13,2,15,341,356,25,1478,81,1915,101440
4114,2020-09-06T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,33,34,0,1069,146,1249,18011
4115,2020-09-06T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,79,12,91,2848,2939,179,18875,2130,23944,643251
4116,2020-09-07T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,31,2,33,487,520,15,2914,472,3906,108107
4117,2020-09-07T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,4,1,5,114,119,1,418,28,565,59060
4118,2020-09-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,1,30,325,355,17,1187,98,1640,164464
4119,2020-09-07T17:00:00,ITA,15,Campania,40.83956555,14.25084984,223,7,230,2960,3190,218,4490,448,8128,271727
4120,2020-09-07T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,119,18,137,3356,3493,132,24803,4464,32760,568812
4121,2020-09-07T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,16,4,20,442,462,11,3123,349,3934,159063
4122,2020-09-07T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,359,9,368,3667,4035,159,7294,881,12210,545694
4123,2020-09-07T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,67,10,77,746,823,59,8951,1577,11351,135646
4124,2020-09-07T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,242,26,268,7842,8110,109,76818,16886,101814,1059954
4125,2020-09-07T17:00:00,ITA,11,Marche,43.61675973,13.5188753,16,1,17,370,387,6,5994,988,7369,127431
4126,2020-09-07T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,83,86,9,436,23,545,34109
4127,2020-09-07T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,205,215,0,2496,292,3003,76265
4128,2020-09-07T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,5,0,5,310,315,17,4629,405,5349,86198
4129,2020-09-07T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,105,8,113,1639,1752,37,27390,4151,33293,378191
4130,2020-09-07T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,167,6,173,1024,1197,43,4137,565,5899,233159
4131,2020-09-07T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,46,10,56,1086,1142,59,1286,136,2564,126031
4132,2020-09-07T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,101,13,114,1265,1379,49,3097,289,4765,284332
4133,2020-09-07T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,77,9,86,1984,2070,85,9285,1144,12499,395285
4134,2020-09-07T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,15,2,17,349,366,13,1481,81,1928,101836
